issue_number,name,cover_date,image_url
1716,"No. 1, 2003",2003-01-01,https://comicvine.gamespot.com/a/uploads/original/13/136525/6090895-1.jpg
1717,"No. 2, 2003",2003-01-08,https://comicvine.gamespot.com/a/uploads/original/13/136525/5828706-2.jpg
1718,"No. 3-4, 2003",2003-01-15,https://comicvine.gamespot.com/a/uploads/original/13/136525/6091038-3-4.jpg
1719,"No. 5, 2003",2003-01-22,https://comicvine.gamespot.com/a/uploads/original/13/136525/6091980-5.jpg
1720,"No. 6-7, 2003",2003-01-23,https://comicvine.gamespot.com/a/uploads/original/13/136525/6092270-6-7.jpg
1721,"No. 8, 2003",2003-02-03,https://comicvine.gamespot.com/a/uploads/original/13/136525/6092324-8.jpg
1722,"No. 9, 2003",2003-02-10,https://comicvine.gamespot.com/a/uploads/original/13/136525/5641709-9.jpg
1723,"No. 10, 2003",2003-02-17,https://comicvine.gamespot.com/a/uploads/original/4/40363/2056787-cover10.jpg
1724,"No. 11, 2003",2003-02-24,https://comicvine.gamespot.com/a/uploads/original/13/136525/6092550-11.jpg
1725,"No. 12, 2003",2003-03-03,https://comicvine.gamespot.com/a/uploads/original/13/136525/5641718-12.jpg
1726,"No. 13, 2003",2003-03-10,https://comicvine.gamespot.com/a/uploads/original/13/136525/5641719-13.jpg
1727,"No. 14, 2003",2003-03-17,https://comicvine.gamespot.com/a/uploads/original/13/136525/5641729-14.jpg
1728,"No. 15, 2003",2003-03-24,https://comicvine.gamespot.com/a/uploads/original/13/136525/5831637-15.jpg
1729,"No. 16, 2003",2003-03-31,https://comicvine.gamespot.com/a/uploads/original/13/136525/5831859-16.jpg
1730,"No. 17, 2003",2003-04-07,https://comicvine.gamespot.com/a/uploads/original/13/136525/6093980-17.jpg
1731,"No. 18, 2003",2003-04-14,https://comicvine.gamespot.com/a/uploads/original/13/136525/5831862-18.jpg
1732,"No. 19, 2003",2003-04-21,https://comicvine.gamespot.com/a/uploads/original/4/40363/2057250-cover19.jpg
1733,"No. 20, 2003",2003-04-28,https://comicvine.gamespot.com/a/uploads/original/13/136525/5832088-20.jpg
1734,"No. 21, 2003",2003-05-05,https://comicvine.gamespot.com/a/uploads/original/13/136525/5832138-21.jpg
1735,"No. 22-23, 2003",2003-05-12,https://comicvine.gamespot.com/a/uploads/original/13/136525/5833281-22-23.jpg
1736,"No. 24, 2003",2003-05-26,https://comicvine.gamespot.com/a/uploads/original/4/40363/2057268-cover24.jpg
1737,"No. 25, 2003",2003-06-02,https://comicvine.gamespot.com/a/uploads/original/13/136525/6094065-25.jpg
1738,"No. 26, 2003",2003-06-09,https://comicvine.gamespot.com/a/uploads/original/13/136525/6094088-26.jpg
1739,"No. 27, 2003",2003-06-16,https://comicvine.gamespot.com/a/uploads/original/13/136525/6094237-27.jpg
1740,"No. 28, 2003",2003-06-23,https://comicvine.gamespot.com/a/uploads/original/13/136525/6094250-28.jpg
1741,"No. 29, 2003",2003-06-30,https://comicvine.gamespot.com/a/uploads/original/13/136525/5833606-29.jpg
1742,"No. 30, 2003",2003-07-07,https://comicvine.gamespot.com/a/uploads/original/4/40363/2057278-cover30.jpg
1743,"No. 31, 2003",2003-07-14,https://comicvine.gamespot.com/a/uploads/original/4/40363/2057279-cover31.jpg
1744,"No. 32, 2003",2003-07-21,https://comicvine.gamespot.com/a/uploads/original/4/40363/2057280-cover32.jpg
1745,"No. 33, 2003",2003-07-28,https://comicvine.gamespot.com/a/uploads/original/13/136525/6081998-33.jpg
1746,"No. 34, 2003",2003-08-04,https://comicvine.gamespot.com/a/uploads/original/4/40363/2057283-cover34.jpg
1747,"No. 35, 2003",2003-08-11,https://comicvine.gamespot.com/a/uploads/original/4/40363/2057284-cover35.jpg
1748,"No. 36, 2003",2003-08-18,https://comicvine.gamespot.com/a/uploads/original/4/40363/2057290-cover36.jpg
1749,"No. 37-38, 2003",2003-08-25,https://comicvine.gamespot.com/a/uploads/original/4/40363/2057291-cover38.jpg
1750,"No. 39, 2003",2003-09-08,https://comicvine.gamespot.com/a/uploads/original/4/40363/2057292-cover39.jpg
1752,"No. 41, 2003",2003-09-22,https://comicvine.gamespot.com/a/uploads/original/11156/111569227/9347615--001.jpg
1753,"No. 42, 2003",2003-09-29,https://comicvine.gamespot.com/a/uploads/original/11156/111569227/9347826-001.jpg
1754,"No. 43, 2003",2003-10-06,https://comicvine.gamespot.com/a/uploads/original/11156/111569227/9347838--001.jpg
1755,"No. 44, 2003",2003-10-13,https://comicvine.gamespot.com/a/uploads/original/11156/111569227/9347926-001.jpg
1756,"No. 45, 2003",2003-10-20,https://comicvine.gamespot.com/a/uploads/original/11156/111569227/9347939--001.jpg
1757,"No. 46, 2003",2003-10-27,https://comicvine.gamespot.com/a/uploads/original/11156/111569227/9348125-001.jpg
1758,"No. 47, 2003",2003-11-03,https://comicvine.gamespot.com/a/uploads/original/11156/111569227/9348158-001.jpg
1759,"No. 48, 2003",2003-11-10,https://comicvine.gamespot.com/a/uploads/original/11156/111569227/9348536-001.jpg
1760,"No. 49, 2003",2003-11-17,https://comicvine.gamespot.com/a/uploads/original/11156/111569227/9348544--001.jpg
